listing_url,title,stock_type,price,location,km_driven,fuel_type,transmission,reg_state,other_specs
https://www.cars24.com/buy-used-maruti-ciaz-2020-cars-hyderabad-10484375176/,2020 Maruti Ciaz,Verified Direct Seller,₹6.10 lakh,Bolarum Secunderabad Telangana,"73,112 km",Petrol,Manual,TS-09,[]
https://www.cars24.com/buy-used-mg-hector-plus-2021-cars-hyderabad-10493270115/,2021 MG HECTOR PLUS,Verified Direct Seller,₹12.50 lakh,Maheswari colony road 14 Ravi Teja Nilyam Hyderabad,"45,174 km",Petrol,Manual,TS-30,[]
https://www.cars24.com/buy-used-tata-nexon-2017-cars-hyderabad-10459374178/,2017 Tata NEXON,Verified Direct Seller,₹5.25 lakh,"P No 117, H No 9-257, New Gayatri Nagar 
R No 17","1,07,253 km",Diesel,Manual,TS-07,[]
https://www.cars24.com/buy-used-hyundai-creta-2017-cars-hyderabad-10498095114/,2017 Hyundai Creta,Verified Direct Seller,₹8.34 lakh,Gachibowli Hyderabad Telangana,"79,863 km",Diesel,Manual,TS-09,[]
https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-hyderabad-10449672153/,2016 Maruti Alto 800,Verified Direct Seller,₹2.00 lakh,Banjara Hills Hyderabad Telangana,"65,715 km",Petrol,Manual,TS-04,[]
https://www.cars24.com/buy-used-hyundai-i10-2013-cars-hyderabad-10402076189/,2013 Hyundai i10,Verified Direct Seller,₹2.65 lakh,Vivekananda Nagar Opp Ncare Sumana Hospital Hyderabad,"53,168 km",Petrol,Manual,AP-28,[]
https://www.cars24.com/buy-used-hyundai-aura-2020-cars-hyderabad-10469779116/,2020 Hyundai AURA,Verified Direct Seller,₹6.50 lakh,Hyderabad Mansoorabad Telangana,"67,100 km",Petrol,,TS-07,['Auto']
https://www.cars24.com/buy-used-skoda-rapid-2018-cars-hyderabad-10475376114/,2018 Skoda Rapid,Verified Direct Seller,₹5.80 lakh,Jubilee hills Jubilee hills Hyderabad,"1,83,429 km",Diesel,,TS-07,['Auto']
https://www.cars24.com/buy-used-maruti-baleno-2017-cars-hyderabad-10402499167/,2017 Maruti Baleno,Verified Direct Seller,₹5.40 lakh,Kokapet Hyderabad Telangana,"33,868 km",Petrol,Manual,TS-07,[]
https://www.cars24.com/buy-used-ford-ecosport-2016-cars-hyderabad-10423675150/,2016 Ford Ecosport,Verified Direct Seller,₹4.95 lakh,Hayathnagar_Khalsa Hyderabad Telangana,"1,30,000 km",Diesel,Manual,TS-09,[]
https://www.cars24.com/buy-used-kia-sonet-2020-cars-hyderabad-10412275190/,2020 KIA SONET,Verified Direct Seller,₹7.30 lakh,Muppas Panchavati Colony Hyderabad,"1,45,958 km",Diesel,Manual,TS-06,[]
https://www.cars24.com/buy-used-mahindra-thar-2023-cars-hyderabad-10448997103/,2023 Mahindra Thar,Verified Direct Seller,₹12.00 lakh,Gachibowli Hyderabad Telangana,"44,674 km",Diesel,Manual,TS-07,[]
https://www.cars24.com/buy-used-mg-hector-plus-2021-cars-hyderabad-10467570171/,2021 MG HECTOR PLUS,Verified Direct Seller,₹12.00 lakh,Kanchan Bagh Hyderabad Telangana,"76,422 km",Petrol,,TS-07,['Auto']
